Time(s),Mean RR Interval (s),LF Power,HF Power,LF_div_HF
162.36,0.7750738616852247,4.539404538103579e-09,1.235164145590835e-10,36.751427365406364
165.36,0.7666826239570209,1.004001557644408e-08,1.594439049167769e-10,62.96895188113056
168.36,0.7651561337398776,8.393729611325776e-09,1.3595959601105544e-10,61.73694139723133
171.36,0.7636228811568552,6.865348227292004e-09,1.777327731923556e-10,38.627362325921816
174.36,0.7635071116225567,5.094449602676056e-09,1.683164388902144e-10,30.267094742890485
177.36,0.7251835235692807,8.098963421357087e-09,1.484880123049028e-10,54.5428772036278
180.36,0.7031472424978841,7.877839945366295e-09,1.4767630485100537e-10,53.34532139949237
183.36,0.7181772049389888,4.9994259110511875e-09,1.396658624258474e-10,35.795618372424585
186.36,0.7298163266632008,5.901494700679775e-09,1.4977872242956195e-10,39.40142234458659
189.36,0.7218101058940647,6.047114760833542e-09,1.565474140743394e-10,38.62800798460943
192.36,0.7387935946144578,9.91731655113339e-09,1.5803380698066158e-10,62.754398825227064
195.36,0.7669381331827351,9.082280008104366e-09,1.5486416242279585e-10,58.646751230338
198.36,0.7652436545177849,5.6981576019541205e-09,1.462799075706943e-10,38.95379547734749
201.36,0.7578622265612394,7.245976054271418e-09,1.5695426570445848e-10,46.166161981958716
204.36,0.7715919827149836,7.0701501637034286e-09,1.5752260562718332e-10,44.88340029390263
207.36,0.7673788762609832,9.487470395198076e-09,1.5624540731846127e-10,60.72159532894685
210.36,0.7617185495170701,6.468921958411468e-09,1.6102977782437854e-10,40.17220942493363
213.36,0.7536890407028426,7.525267286860625e-09,1.4154896071690884e-10,53.16370567997882
216.36,0.7389044212894751,5.724121995907461e-09,1.5563790176887031e-10,36.77845775901075
219.36,0.7300612029074895,5.0081604468425754e-09,1.4115794315424433e-10,35.479125970049886
222.36,0.7455861073157918,6.174507115470015e-09,1.5272223043056578e-10,40.42965518551156
225.36,0.7359516005640617,4.70701330610623e-09,1.49076646438545e-10,31.57445125415159
228.36,0.7279063059023644,6.777746875616176e-09,1.7789289711444765e-10,38.100154562414616
231.36,0.7425341392116853,6.430731445697597e-09,1.4258401661153872e-10,45.10134865409021
234.36,0.7535848421280479,5.86804171565322e-09,1.591593120206759e-10,36.86898140707545
237.36,0.7473843717854572,7.891141818032696e-09,1.6648031516208067e-10,47.39984910738604
240.36,0.756352745815959,7.10617690726593e-09,1.572267078731108e-10,45.19700885043616
243.36,0.7740263834771343,7.27369722746704e-09,1.316715392595744e-10,55.24122576806694
246.36,0.7846841965698087,5.866040249117128e-09,1.4284016261150588e-10,41.06716305743419
249.36,0.7918265391145803,7.036295157407937e-09,1.3404139119232538e-10,52.49345067832155
252.36,0.7966007662159088,6.873775918097785e-09,1.6451666844240556e-10,41.78163819615746
255.36,0.8024828963200635,6.123437540017076e-09,1.4541703248907456e-10,42.10949319487138
258.36,0.8019514934795766,9.231471366617015e-09,2.0677461429060102e-10,44.6450904927967
261.36,0.7963334791669517,5.906256208433096e-09,1.4852385386748022e-10,39.766381322847494
264.36,0.7937558293964768,4.744967544884043e-09,1.7495873379756964e-10,27.120495455654442
267.36,0.7879403272343831,7.007773048297346e-09,1.3475243284816513e-10,52.00479798530604
270.36,0.7897302470790147,4.607808415223504e-09,1.0442856697764404e-10,44.12402227265973
273.36,0.7898156240686752,7.2106274621408404e-09,1.8056961757654115e-10,39.93267283231825
276.36,0.7765296619607035,7.456195189123847e-09,1.4480486687135763e-10,51.49133002378859
279.36,0.7816406888960978,5.241243667488161e-09,1.5698050858879023e-10,33.387862700952105
282.36,0.7762244971305675,6.8601485922788225e-09,1.7501788516792273e-10,39.196843143755174
285.36,0.7510719368433986,6.021434734623913e-09,1.461006236871601e-10,41.21429862967177
288.36,0.7553367102286025,6.429279522602362e-09,1.6538612188945244e-10,38.87435928209156
291.36,0.7590656533739795,4.175551676869054e-09,1.5930994678181896e-10,26.210238351203714
294.36,0.7430386950153413,4.014180334466317e-09,1.4006069183925111e-10,28.66029206162588
297.36,0.7423518242945685,8.189471617196024e-09,1.4889935605889377e-10,55.00004723967284
300.36,0.746013249206729,7.954049744181929e-09,1.5365831971250694e-10,51.76452377628409
303.36,0.7256715420276144,5.2431758150353005e-09,1.5895359401029486e-10,32.985575744174234
306.36,0.7261469638046818,9.385869831524983e-09,1.8174126306475335e-10,51.64413228591271
309.36,0.7350619977685379,4.8673156140202866e-09,1.431184821389991e-10,34.00899409548703
312.36,0.741037501653178,6.479294862047623e-09,1.963660545377687e-10,32.99600268131581
315.36,0.7594828710812438,6.3773286884957254e-09,1.5575992388212161e-10,40.94332180928682
318.36,0.758524222250078,5.365897328114721e-09,1.7378107969118377e-10,30.87733910762981
321.36,0.7582306456535699,7.6974200517504e-09,1.617391318481633e-10,47.59157517289353
324.36,0.7617142463078564,5.2012062786023175e-09,2.0287329338570421e-10,25.637708107364066
327.36,0.7699881770272509,7.011335543863034e-09,1.3938823947965078e-10,50.30076834341978
330.36,0.7637689173709687,5.9255403689359066e-09,2.0409274287984085e-10,29.033567217157522
333.36,0.7596793446384881,7.577915850495128e-09,1.7565606720285033e-10,43.14064393656288
336.36,0.7512125421131449,1.2341328337406963e-08,1.4948739053236382e-10,82.55765448481142
339.36,0.7427091779602669,5.788861238959466e-09,1.445763535300309e-10,40.040166303938655
342.36,0.7397659112487137,7.354746176147954e-09,1.4508363979579608e-10,50.693146287890855
345.36,0.7486027881528017,3.83421152435075e-09,1.1046941145164153e-10,34.70835477411041
348.36,0.7926742867922156,9.981928826215382e-09,1.4747195900290313e-10,67.68696160073982
351.36,0.823884077589193,8.13539075477016e-09,1.5970254580298759e-10,50.94089586277572
354.36,0.8326665306921427,7.477562442589958e-09,2.2348733712368072e-10,33.458550890745904
357.36,0.8266756164634764,7.2867107032263044e-09,1.8160124943481503e-10,40.124782874039845
360.36,0.7952691538180005,5.0925917185162596e-09,1.3178792997214273e-10,38.642322704307816
363.36,0.7655182578739415,5.283515134770405e-09,1.2389757787536512e-10,42.64421650022377
366.36,0.773846769261708,4.867038789033094e-09,1.3026490869720173e-10,37.362623884736536
369.36,0.776452180331454,4.136195131548078e-09,1.6216708050455511e-10,25.505763060412846
372.36,0.7689212401174236,7.590177049494318e-09,1.7136407228677128e-10,44.29269769448781
375.36,0.785600206089355,5.70418168623936e-09,2.1394638969303528e-10,26.661733784914865
378.36,0.7909416120904802,3.604749370818595e-09,1.0653147955661809e-10,33.8374101798031
381.36,0.7728636023119956,7.265047354224718e-09,1.3084520839417678e-10,55.52398474033877
384.36,0.7899318211612688,7.113622334836636e-09,1.5187902208863397e-10,46.83742518887993
387.36,0.8247413368319095,5.466683048238922e-09,1.2318250196940566e-10,44.378730427123976
390.36,0.8272042828048911,6.009971653703859e-09,1.522924936568899e-10,39.463347860362255
393.36,0.8404417805623968,8.119574518682155e-09,1.7965848833884956e-10,45.19449425271808
396.36,0.8436094348311993,6.497690656239045e-09,1.7336386654482957e-10,37.480074629962346
399.36,0.8481843802394452,9.400148301707704e-09,1.642236779118559e-10,57.239908527399216
402.36,0.8413158426417914,6.49730828308792e-09,1.015100628285262e-10,64.00654380505473
405.36,0.8672396133814555,5.664241800574977e-09,1.6076563369616274e-10,35.23291433839678
408.36,0.8760979190749113,1.2229419184260046e-08,1.467498027222459e-10,83.33516609495368
411.36,0.8874332208209262,7.871551306306142e-09,1.747624203096856e-10,45.04144135997577
414.36,0.8623357001627876,7.870646854398615e-09,1.7664944209234418e-10,44.555175273546595
417.36,0.8512430576843796,5.763470355902695e-09,1.51322534471513e-10,38.08732371573969
420.36,0.8717117485042779,5.36849487528236e-09,1.1422781841659063e-10,46.99813889208122
423.36,0.8694759962151406,5.167752849403573e-09,1.565972227817102e-10,33.000284153233025
426.36,0.8366776671524435,1.086504833955681e-08,1.7499435134949215e-10,62.0879945882227
429.36,0.8237886228469401,1.129040572580323e-08,1.8717735039165725e-10,60.31929452029714
432.36,0.8145321171693767,7.089608852304358e-09,1.562550389822761e-10,45.37203342996527
435.36,0.7675533178751587,8.206240604430927e-09,1.0264583316633747e-10,79.94713814766082
438.36,0.7315449803956146,7.546260584999502e-09,1.480979070390801e-10,50.95453903348002
441.36,0.7120053352924683,6.178721248665061e-09,1.294017699788319e-10,47.748351894072265
444.36,0.6915709707964922,3.1073420495674974e-09,1.3714984862254177e-10,22.65654742441166
447.36,0.6860587359527592,5.1198294891490215e-09,1.3559196782485197e-10,37.759091274215095
450.36,0.6834775388332229,7.880720830371404e-09,1.1439066614330464e-10,68.89304080543347
453.36,0.6923986788676366,7.14729982500539e-09,1.21663956593483e-10,58.74623861598333
456.36,0.7295095214363659,6.265685592370357e-09,1.4862104292147302e-10,42.15880516785877
459.36,0.7549543569453171,6.7558539109792105e-09,1.4469427442667392e-10,46.69054071246506
462.36,0.744182472462671,7.72260639172753e-09,1.494943338071529e-10,51.65818793968246
465.36,0.7643936192706743,6.6319739064612445e-09,1.6301536094793007e-10,40.6831225468354
468.36,0.7818991378438228,8.537624184598495e-09,1.4017462317705833e-10,60.907060001969064
471.36,0.7578594924845751,8.985843530233206e-09,1.1649097650824218e-10,77.13767881066242
474.36,0.7692485113060933,6.00659075307891e-09,1.7509109737188858e-10,34.30551777467634
477.36,0.7999589666069289,9.742385257116657e-09,1.5485079873141623e-10,62.91465938134755
480.36,0.7825603862974608,5.012344765206393e-09,1.686276091930444e-10,29.724342230745116
483.36,0.7823996690714545,4.730477118994945e-09,1.6900704530653805e-10,27.989822024371822
486.36,0.7701050855991273,8.658990030163396e-09,1.5983731456233087e-10,54.17377071101065
489.36,0.7450192316979072,5.659468257332945e-09,1.4021309213112209e-10,40.363336770580744
492.36,0.7159987230059296,9.535723443653652e-09,1.3454571151848242e-10,70.87348482559207
495.36,0.7004785913184107,6.277154919875408e-09,1.3399833375073978e-10,46.84502220417165
498.36,0.6743602367402429,6.6578081682212016e-09,1.1397121157980999e-10,58.416577975561616
501.36,0.6776120051979196,1.07527444749935e-08,1.5086810766324372e-10,71.27248191509736
504.36,0.6808143214406862,7.863099569323082e-09,1.3694207605140039e-10,57.419164336107436
507.36,0.6981247300034107,1.1775836076701652e-08,1.4208451736802543e-10,82.87909404090833
510.36,0.7187485203612641,4.766163750073906e-09,1.617427689127644e-10,29.467553833238288
513.36,0.7333282219901379,5.795410282970896e-09,1.41021625564039e-10,41.09589759578509
516.36,0.7540377186009452,4.51634004240488e-09,1.6933018060850846e-10,26.67179605062055
519.36,0.7550089746147725,7.0553334987387354e-09,1.7709687866419564e-10,39.83883596343214
522.36,0.7298008757676424,5.5134419441840374e-09,1.3446930164885824e-10,41.00149161614131
525.36,0.711415173702792,4.515117458467561e-09,1.3073624696078093e-10,34.53607980518237
528.36,0.6954577369253837,5.801938734384063e-09,1.68303530138973e-10,34.473066189361795
531.36,0.6682290794017082,9.09839484267328e-09,1.624989499008704e-10,55.9904839275798
534.36,0.6625405103259352,5.92900572634388e-09,1.1725820869284722e-10,50.563673046333605
537.36,0.6711688771551304,5.4444421200008344e-09,1.4559121437085829e-10,37.39540289932907
540.36,0.6769156430730549,5.789231681157468e-09,1.33623402344888e-10,43.32498334547119
543.36,0.6859541216815943,7.33084100339362e-09,1.6954608959721348e-10,43.2380423565611
546.36,0.7117158991077615,1.065071333686643e-08,1.388859596986184e-10,76.68675336209942
549.36,0.7311790968258051,7.3029198011121925e-09,1.3690066659803108e-10,53.34466210128172
552.36,0.7392800639246678,8.686347752950853e-09,1.4642325683317037e-10,59.323552424788495
555.36,0.7466010344377098,3.935413349303036e-09,1.1270228658687076e-10,34.918664638357846
558.36,0.7648148284742167,9.03357251829515e-09,1.400066009080719e-10,64.5224757954561
561.36,0.768622194123927,6.2116529681691056e-09,1.431132275055762e-10,43.403765510962835
564.36,0.7516863525329622,4.887207046268672e-09,8.427379008861771e-11,57.992016748381104
567.36,0.7522125886201044,6.620422886118045e-09,1.8230318572574806e-10,36.31545362063847
570.36,0.7674555006760996,8.098708625831112e-09,1.4453689527423816e-10,56.032119760597915
573.36,0.7736453564517213,7.376464929964077e-09,1.4437269248928862e-10,51.09321439379096
576.36,0.7784692308349387,7.028714954135237e-09,1.3788121138681434e-10,50.976597053653364
579.36,0.7932934230497284,6.826591326230216e-09,1.7269642857219486e-10,39.52942966261977
582.36,0.80806466318203,7.965930481732185e-09,1.4850895069282693e-10,53.639396444250444
585.36,0.8055630647237875,8.52689190916558e-09,1.5736242721876988e-10,54.18632681174422
588.36,0.7860007806156132,6.767456985170879e-09,1.782850533711414e-10,37.958633419947205
591.36,0.7800144034531563,4.811155633348733e-09,1.214187763508714e-10,39.62447800862065
594.36,0.7811951152142723,7.1282775064267675e-09,1.7442760416385696e-10,40.86668243021028
597.36,0.763990539985404,7.166565461671869e-09,1.195342595134276e-10,59.954070831608156
600.36,0.7564671483724089,4.95644697971193e-09,1.6416978120222897e-10,30.19098242938168
603.36,0.7585940950513527,5.536139927422959e-09,1.6559811086721815e-10,33.4311780395974
606.36,0.7456169994728782,7.949517092658865e-09,1.4999855832795086e-10,52.997289982470086
609.36,0.7337672727190462,7.307754510842749e-09,1.5204797376154155e-10,48.062163079552626
612.36,0.7306729709280324,4.955633913576324e-09,1.4745040805910058e-10,33.60881789889672
615.36,0.7127414366901847,7.87646461919037e-09,1.2006594487589697e-10,65.60115465989688
618.36,0.6970213576400992,5.871669857973027e-09,1.5705477500598523e-10,37.38612759624317
621.36,0.6931399935200339,5.844834683791446e-09,1.7422123037277959e-10,33.5483492527593
624.36,0.7016513449892825,6.460654300347111e-09,1.3356588995477152e-10,48.370540581392724
627.36,0.7109231040033608,4.709087661958687e-09,1.4387274645764958e-10,32.73092213711827
630.36,0.7280271940016897,4.162877067738114e-09,1.667441257492973e-10,24.965659503934024
633.36,0.753485351485751,8.042367851956455e-09,1.8107631894387283e-10,44.41424421958401
636.36,0.7730810710138213,6.707417825991843e-09,1.4498870101099098e-10,46.26165886873751
639.36,0.7772629575919092,5.5437935481831865e-09,1.6000830585593896e-10,34.646911099567895
642.36,0.778213588598145,4.954682707881425e-09,1.4566187680308067e-10,34.014958591942545
645.36,0.7682414837438913,8.26353213256109e-09,1.48438149371037e-10,55.669867669297794
648.36,0.7712147801341551,6.612833788925058e-09,1.4191173490946638e-10,46.59821679400765
651.36,0.7716245624253618,7.986040847937678e-09,1.5394421882948072e-10,51.876198461103435
654.36,0.7654186123631167,6.593249283749104e-09,1.4666763854160777e-10,44.953674507268225
657.36,0.7512665854477008,6.174774417494229e-09,1.2851508891872942e-10,48.0470773466845
660.36,0.7501138905001324,5.4238631118629236e-09,1.2853036941031262e-10,42.199078215889266
663.36,0.7294048902649249,5.742362497413107e-09,1.4720653617930948e-10,39.00888266549825
666.36,0.7234077136258145,3.0923806861023605e-09,1.469562529010036e-10,21.042865649177436
669.36,0.7152625434963612,2.3518193723213895e-09,1.0520445436308873e-10,22.354750913916927
672.36,0.7205433624948681,5.562098025295759e-09,1.4247420697314822e-10,39.03933310780972
675.36,0.7283877308062111,7.684856196359444e-09,1.4994864276104325e-10,51.24992167222186
678.36,0.7442539991359788,5.5010633705970606e-09,1.0330897945612072e-10,53.24864691876637
681.36,0.7573302576764732,6.533785132683758e-09,1.5481138522203539e-10,42.20481021672144
684.36,0.7764661422886118,5.7562587365457065e-09,1.6514029606023017e-10,34.856778592950306
687.36,0.7868676870732889,6.217492419832537e-09,1.5582510959088464e-10,39.90045273291593
690.36,0.8079393973967229,8.59714023649154e-09,1.5195702116698591e-10,56.576130345725346
693.36,0.8216341021118921,8.493699218577113e-09,1.7133775097939855e-10,49.57284177027855
696.36,0.8138756200406639,7.301132359781791e-09,1.530322184151559e-10,47.70977272233483
699.36,0.8233454354139474,4.866986543781394e-09,1.6091342743782712e-10,30.245993894212926
702.36,0.8408618225443263,9.632903062489321e-09,1.54422593152644e-10,62.38014053401737
705.36,0.8234635110943765,5.64107383209759e-09,1.5652939863768323e-10,36.03843036000488
708.36,0.8103043118765078,6.4183325438294255e-09,1.572565661463186e-10,40.81440095708003
711.36,0.8213332950879803,4.065549289953882e-09,1.4009613610905048e-10,29.01971034225575
714.36,0.8058198887978455,4.841180933539717e-09,1.594026056097241e-10,30.370776657143857
717.36,0.7794245920989957,5.817001694004273e-09,1.670235880816409e-10,34.82742623850788
720.36,0.7831554979506105,5.892897566539998e-09,1.8336143017475171e-10,32.1381522871184
723.36,0.790647950650671,9.197543709384893e-09,1.5783181722266267e-10,58.274331951772275
726.36,0.7760767687923337,8.043769644720595e-09,1.2844877995354554e-10,62.62239040051361
729.36,0.7749548752136523,1.0101511033130317e-08,1.4670218017502006e-10,68.85726593210077
732.36,0.7810917075852144,7.982415241655797e-09,1.5048851616713876e-10,53.043351379650765
735.36,0.7713048634073013,6.139105976224515e-09,1.5891965887694277e-10,38.63024889185199
738.36,0.7594010974781803,5.684797294939771e-09,1.7843000542392564e-10,31.86009708083267
741.36,0.7574947988498503,7.410951377815597e-09,1.5261825620959204e-10,48.55874756974074
744.36,0.7477674350918964,8.186092061287741e-09,1.39693211130612e-10,58.60050030372494
747.36,0.7537781709435136,1.0837220612349772e-08,1.844279352244022e-10,58.761274961754644
750.36,0.7647544626699885,5.5892276189224855e-09,1.4857990864844024e-10,37.61765416175709
753.36,0.7641282476408454,5.688396584223836e-09,1.2194018359440338e-10,46.64907347642302
756.36,0.7758260960170809,5.365858050941157e-09,1.5949991728421457e-10,33.64176071251296
759.36,0.7702394683551885,7.691381185135718e-09,1.3232402088633487e-10,58.12535874905544
762.36,0.7414372862124091,9.169083784063223e-09,1.6548743350422146e-10,55.40652598149893
765.36,0.7202957699928091,4.357990929321635e-09,1.5069703688692896e-10,28.91888931161615
768.36,0.7169160791113511,3.332591007574421e-09,1.2926705234622954e-10,25.78066836898541
771.36,0.6969383236271427,5.940029332830814e-09,1.270523600799788e-10,46.7526091533569
774.36,0.6960404475664917,7.813114335636092e-09,1.6231424747917046e-10,48.1357271895601
