Time(s),Mean RR Interval (s),LF Power,HF Power,LF_div_HF
589.11,0.6853424499295916,9.016167235595908e-09,1.487276083247543e-10,60.62201454829186
592.11,0.6841629964425594,8.700902557181843e-09,1.5085613082267321e-10,57.67682433410339
595.11,0.6860799475896444,7.378814555008624e-09,1.3387753421035652e-10,55.11615222472339
598.11,0.6911025159772758,8.572466094949432e-09,1.4812654813017166e-10,57.87258397067392
601.11,0.691568735898413,9.218191734163481e-09,1.5717129172014974e-10,58.650607456843126
604.11,0.6967557642229649,4.102338856176642e-09,1.4399673953094842e-10,28.489109333582853
607.11,0.6929087745041037,5.4000512217467844e-09,1.575907842334322e-10,34.26628814631653
610.11,0.6899791453537277,8.303998932421821e-09,1.4072874330450226e-10,59.00712773689748
613.11,0.6838586336343465,5.739263572133141e-09,1.3460463373510681e-10,42.63793461544303
616.11,0.6700595397604339,6.455740884445532e-09,1.3971114319499325e-10,46.20777367368134
619.11,0.670693408838333,7.294255605100725e-09,9.12133892414619e-11,79.9691324460187
622.11,0.6788584732043598,5.63136252548971e-09,1.4163482610406717e-10,39.75973057185828
625.11,0.6881942967154434,6.46380194408145e-09,1.3763684899010768e-10,46.96272830647278
628.11,0.6993261174940786,7.281863041161115e-09,1.5193075790717095e-10,47.92882719383459
631.11,0.7145819885155374,1.0362968865927107e-08,2.021111503419712e-10,51.273612803613304
634.11,0.7164718206391033,5.7287149738043e-09,1.858773664582917e-10,30.819863025602658
637.11,0.7226709452968064,7.75654989694482e-09,1.3450936541382871e-10,57.66550063693469
640.11,0.7191378555848131,4.479146833729455e-09,1.5491808582175415e-10,28.91300140955187
643.11,0.7133601101290145,9.127746301874257e-09,1.8312970295341976e-10,49.843068353559
646.11,0.7165959210872873,4.947820331840521e-09,1.1458083151490688e-10,43.18192027779806
649.11,0.7114358806029619,2.9525841918059003e-09,1.578232219051395e-10,18.708173335737417
652.11,0.7025457244759892,5.600350258547162e-09,1.361590999494789e-10,41.13092889586624
655.11,0.7021898737208673,5.022506855951128e-09,1.6441625101959842e-10,30.547508684846765
658.11,0.7051338709915204,7.752894914624639e-09,1.528616552672155e-10,50.7183760444822
661.11,0.7074742129367405,5.83808010546792e-09,1.591547483639221e-10,36.68178402141423
664.11,0.7074002737637805,5.548782046858215e-09,1.5399165051730318e-10,36.033005868943064
667.11,0.7041421841730306,4.266292263680268e-09,1.353600157276549e-10,31.51811294307229
670.11,0.7024539186893651,3.854449461453003e-09,1.33488311813724e-10,28.87480865614427
673.11,0.6967835041201894,7.171038959556399e-09,1.0521906877883186e-10,68.15341594240644
676.11,0.6920074789255445,6.314809452387597e-09,1.301792545111875e-10,48.50856978786054
679.11,0.6939823204600598,5.112983342909043e-09,1.249772852740547e-10,40.91130105520462
682.11,0.6943975272870033,7.439209019979942e-09,1.3783608557990934e-10,53.97141821520405
685.11,0.69847014321658,6.433271781013179e-09,1.4246562819205266e-10,45.15665892646557
688.11,0.7031605846341766,8.04538088200008e-09,1.381993037870161e-10,58.215784461541894
691.11,0.7096831280538191,6.2068873769148725e-09,1.457508285714586e-10,42.585606117990366
694.11,0.7206442416840243,7.067784877492719e-09,1.3726984200797902e-10,51.48825680940096
697.11,0.7258146104333173,4.703869398342472e-09,1.5574480723315258e-10,30.20241561762442
700.11,0.7219195552786454,7.0544274188405104e-09,1.5327466287846573e-10,46.02474594534972
703.11,0.7151002232054654,6.800525664592629e-09,2.1220054896933117e-10,32.047634643845775
706.11,0.7027694963175896,6.903871940470558e-09,1.045449798789629e-10,66.03733578086222
709.11,0.6928280222933539,5.472450692528002e-09,1.5089885991922409e-10,36.26568613876471
712.11,0.6864878118188799,4.414606544234374e-09,1.407078905894431e-10,31.374264270049323
715.11,0.685507054211962,6.884876903427814e-09,1.4481969826682268e-10,47.54102505270236
718.11,0.6864989221169019,6.075891664857034e-09,1.6769074923851867e-10,36.23271821759741
721.11,0.6893023916227001,8.755853273812443e-09,1.3092977680554054e-10,66.87442297268105
724.11,0.6847926588384908,6.277816963017612e-09,1.5015665967932155e-10,41.8084484326215
727.11,0.6784445301060655,7.189556061500265e-09,1.5305825231381158e-10,46.972678394103795
730.11,0.6885863135630524,5.338830094783865e-09,1.5429737030065926e-10,34.60091435376234
733.11,0.702997700561451,8.661201672954197e-09,1.683012509779179e-10,51.4624913518355
736.11,0.708974242306224,4.2268157500012536e-09,1.3587418228722023e-10,31.108306808914723
739.11,0.7116938422717242,9.643241747022387e-09,1.9071625272143464e-10,50.56329289936065
742.11,0.7143590807870246,9.200722585350688e-09,1.9064526533008325e-10,48.260955074968976
745.11,0.7012018094204088,4.884077936297232e-09,1.3734314364546614e-10,35.56113400829719
748.11,0.6900352613827856,5.828120382082761e-09,1.4328928951854484e-10,40.67380333635106
751.11,0.6841971523125197,8.33144972009653e-09,1.3629487439856458e-10,61.128122072536826
754.11,0.6903742306188384,6.710606783230195e-09,1.1988886792010222e-10,55.97356034508858
757.11,0.7203844591237011,8.13543270107025e-09,9.648477533656394e-11,84.31830485889353
760.11,0.7330005420288593,7.126377792380036e-09,2.361279475949905e-10,30.180153874048337
763.11,0.7415450037008021,9.190001560515634e-09,1.3738631069009226e-10,66.89168312588205
766.11,0.7706710961694457,5.468121967707225e-09,1.7281509238274592e-10,31.64146077934319
769.11,0.78310524023328,4.703448606957716e-09,1.713143958793243e-10,27.455069276669988
772.11,0.7664564457705442,5.098240831960124e-09,1.4388827664327863e-10,35.431940328255195
775.11,0.7672436884705759,6.832440326394744e-09,1.9383778228254186e-10,35.248238222389695
778.11,0.7672624370666433,5.3806221744124985e-09,1.478205850090746e-10,36.39968123575066
781.11,0.7494805031067392,1.0703973240560539e-08,1.5810037554379365e-10,67.70365474303095
784.11,0.7394091367652957,5.524880068577329e-09,1.7365969664057526e-10,31.81440584922945
787.11,0.732825541348007,6.416537298036914e-09,1.5773070813985425e-10,40.680330252163685
790.11,0.7208933569557505,5.359879079524112e-09,1.4117409954490446e-10,37.9664477889533
793.11,0.7113649741983311,9.730710663713236e-09,1.657043978185427e-10,58.72330965149766
796.11,0.7053225362357606,8.534041335186366e-09,1.6122184331085912e-10,52.93353034508789
799.11,0.6951370872607905,7.132017377160146e-09,9.037732240235261e-11,78.91379372149326
802.11,0.6880907756167889,5.871474907748861e-09,1.4023712271751027e-10,41.86819291476905
805.11,0.6853877969422809,8.494751948528306e-09,1.549863840039807e-10,54.80966604337401
808.11,0.6859995163350501,4.6231216038117725e-09,1.3930892683805198e-10,33.186111678156834
