Time(s),Mean RR Interval (s),LF Power,HF Power,LF_div_HF
147.85,0.5569479486894372,5.038476195730145e-09,2.0492625742639908e-10,24.586777014359686
150.85,0.5579145640504906,7.782718916288901e-09,1.615759742194986e-10,48.167550614401314
153.85,0.5520923096743182,9.388252580165321e-09,1.240209535896922e-10,75.6989227096671
156.85,0.5402328347529034,2.652552856513045e-09,1.2990027402793102e-10,20.41991732783178
159.85,0.5367050368028453,5.036676559705528e-09,1.3736999771016726e-10,36.66504071967925
162.85,0.5563704844474132,6.604662067155323e-09,1.4248080209968593e-10,46.354750744134684
165.85,0.5570500232389369,3.4372919927423236e-09,1.4767544888479367e-10,23.27598811244423
168.85,0.5536213244683351,8.95809008751373e-09,1.2799255856206453e-10,69.98914771416095
171.85,0.5527510279295145,8.129815771826663e-09,1.0970802361530898e-10,74.10411293465508
174.85,0.5511081178323013,5.442878453785925e-09,1.5505308979605545e-10,35.10332145554182
177.85,0.5326479114024933,3.5283832150715496e-09,1.1006771019725264e-10,32.056478768826246
180.85,0.5249347699363717,5.951031839839231e-09,1.5701486359590896e-10,37.90107320765959
183.85,0.5209082876235724,7.253351839405922e-09,1.0226444976659327e-10,70.92740298276532
186.85,0.5231403525051175,6.923138160809657e-09,1.2343586775544605e-10,56.086924219838075
189.85,0.5185454454689581,7.823484176645242e-09,1.444949818863969e-10,54.14363927735655
192.85,0.5071992053589969,1.0115461705098013e-08,1.3344209901305375e-10,75.80412613345122
195.85,0.4970073072220722,4.4880490748054005e-09,1.3075637093186366e-10,34.32375067325855
198.85,0.48855890294201837,7.695561998455244e-09,1.349862736354092e-10,57.009959540334826
201.85,0.4797092709546947,6.516221470230418e-09,1.2808448511880848e-10,50.87440109694869
204.85,0.4740779266873698,4.163931341522172e-09,1.5518025597368474e-10,26.83286810809415
207.85,0.47189839826939933,7.356253756806804e-09,1.0408241662124228e-10,70.6771998153765
210.85,0.47378200606798826,4.4690655472725295e-09,1.6676139951774229e-10,26.799160718227547
213.85,0.4781646084118803,3.961589924837004e-09,7.61305109584356e-11,52.03682301567479
216.85,0.4800342651729743,2.56592053890126e-09,1.9649015462368646e-10,13.05877408369622
219.85,0.48388773074870556,4.428032064398517e-09,6.660703269917065e-11,66.47994791177138
222.85,0.4932106712938879,7.232475518245696e-09,1.3417644550511485e-10,53.902721085050594
225.85,0.5036940930020971,6.8250501253090915e-09,1.7809917107818602e-10,38.32162768636849
228.85,0.5094035147742092,3.402666203989027e-09,1.2620355808893522e-10,26.961729570185174
231.85,0.5206061432433514,3.0232994254913415e-09,1.9371790850407147e-10,15.60671106165592
234.85,0.5316450650570348,5.6186388569419375e-09,8.826519641044087e-11,63.65633438138829
237.85,0.5327546833195244,1.027619022683713e-08,1.2765019572832365e-10,80.5027377216704
240.85,0.5351971107224097,3.973758848114294e-09,1.7082454697621086e-10,23.26222383407042
243.85,0.5431917747614965,7.791397112292282e-09,1.6742909405342218e-10,46.53550302199123
246.85,0.5482379478681535,6.5924388535506195e-09,1.509428826901977e-10,43.67505599506307
249.85,0.5526638648893963,2.0509915959824618e-08,1.9036877073803987e-10,107.73781792207731
252.85,0.5539811745076307,1.0347970103800332e-08,1.401384510699854e-10,73.84104808345953
255.85,0.5566657562340739,4.70397620975734e-09,1.41043790941826e-10,33.35117539273679
258.85,0.5524376898652769,1.3720754663285476e-08,1.403085920377916e-10,97.78983926793194
261.85,0.5440393097401951,8.272211354402818e-09,1.382197229135394e-10,59.848270420693396
264.85,0.5382230006837371,5.3916277723865225e-09,1.200819417568454e-10,44.89957185489271
267.85,0.5422828461936294,9.180336288504884e-09,1.5768435938018406e-10,58.21970120936777
270.85,0.5332810738985532,4.3702903819258144e-09,1.6674958651051915e-10,26.20870296221167
273.85,0.5363119403138664,9.213232082581882e-09,9.464542191198202e-11,97.34471986558385
276.85,0.5447687682654848,1.2903351916067296e-08,1.3181962759748387e-10,97.88642367787718
279.85,0.5426407180790963,8.12466910422352e-09,1.572075702193387e-10,51.681156911768575
282.85,0.5412794644747662,5.219689612734673e-09,1.504847393824403e-10,34.68584013339326
285.85,0.5476080173023804,4.522720828177919e-09,2.0637481777692879e-10,21.915080904233882
288.85,0.5418239277362954,6.907155921076281e-09,1.8031581380258994e-10,38.305879974777184
291.85,0.5463450090592611,7.472201607672124e-09,1.358412337522486e-10,55.00687384288746
294.85,0.5630414496811964,7.68522184468e-09,1.663156777913474e-10,46.20864338671399
297.85,0.5673494446548607,6.1314841270506085e-09,1.8572844494163774e-10,33.013166771397515
300.85,0.5713497082211817,5.6110945666015895e-09,1.1861034677995925e-10,47.306956930250344
303.85,0.5884587094182502,4.621804090095093e-09,1.879938849993555e-10,24.584863971032558
306.85,0.5802282249347804,4.107249091620725e-09,1.344439059566999e-10,30.549908992851925
309.85,0.563154514356385,7.477340649606844e-09,1.5548572552015297e-10,48.090206509906814
312.85,0.554307554405934,7.413028227641523e-09,1.796838621712647e-10,41.25594885408148
315.85,0.5414347392036145,4.231500008938376e-09,1.0321920282510379e-10,40.99527891247421
318.85,0.535305747361869,4.274423254621725e-09,1.226563670942617e-10,34.84876778827814
321.85,0.5411868194308536,6.467242921709468e-09,1.51674215981041e-10,42.63903973314661
324.85,0.5402019501407848,9.310820499428195e-09,2.1987799527954993e-10,42.345394715785645
327.85,0.5377925068023646,9.926649538508968e-09,1.3100071493867577e-10,75.7755371270748
330.85,0.5410329025127653,3.0459524834428114e-09,1.0069283137747593e-10,30.249943732579986
333.85,0.5320097013424406,9.36969104067195e-09,1.01572064183948e-10,92.24673256323064
336.85,0.517536162081238,7.869868924723092e-09,1.0739198015963912e-10,73.28171910997881
339.85,0.5168028400512158,2.549036568662967e-09,1.4156289343170715e-10,18.00638929362287
342.85,0.5246606194048206,6.822636706188015e-09,1.730675993195777e-10,39.42180242293467
345.85,0.5299706283453103,5.163229029401286e-09,1.1575417485271314e-10,44.605121465131035
348.85,0.5390980922776577,5.679393061437224e-09,1.4190484916858284e-10,40.022543942033366
351.85,0.5616092454619513,8.204546487253128e-09,1.3982234951008092e-10,58.67836233621289
354.85,0.570718051598639,3.305064783963485e-09,1.552466599822864e-10,21.28912006442259
357.85,0.5725492910782952,4.414224471943787e-09,1.959698888865663e-10,22.525013904043607
360.85,0.5803162810922112,7.870173066341618e-09,1.1302012849392345e-10,69.63514527206328
363.85,0.5824144956577525,4.304719532667739e-09,1.4257806185847288e-10,30.192018860101552
366.85,0.5722033870977836,4.188608640135922e-09,1.644137356390619e-10,25.476026220407707
369.85,0.5744546194427324,5.496866064760941e-09,1.9004415925655865e-10,28.924151556482194
372.85,0.5750177927690466,2.7177682030650057e-09,1.7423580207064854e-10,15.598219027126321
375.85,0.5705593065339726,5.246399236663792e-09,1.7272893493058773e-10,30.37359802381745
378.85,0.5689261068284744,3.0913582324408244e-09,1.4156947158720016e-10,21.83633376449168
381.85,0.5702428190007547,5.911646832935302e-09,1.6033702591524572e-10,36.87012902472198
384.85,0.5617421527703891,5.743000745083374e-09,1.6897193253721347e-10,33.98789762801918
387.85,0.5712360797153728,6.164457150874076e-09,1.99588214378453e-10,30.885877555802082
390.85,0.583718054588213,7.609960952583035e-09,1.6914529360904093e-10,44.99067511847269
393.85,0.5772104402383277,3.827845219603315e-09,1.6701391469203856e-10,22.919319187635246
396.85,0.5665573421637222,6.517167083829425e-09,1.576896616553635e-10,41.32907012048089
399.85,0.5706308862247189,3.67782975714895e-09,1.9689198585733735e-10,18.679428424343318
402.85,0.5533318038717914,9.750743620979757e-09,1.3204827864908992e-10,73.8422622447942
405.85,0.5339433443378562,5.31576895723541e-09,9.9952845189084e-11,53.1827678059529
408.85,0.5285953532344819,3.058223413761269e-09,1.6242533740022342e-10,18.828487369711706
411.85,0.5268769379764785,5.4575600362530585e-09,1.2743381705368957e-10,42.82662296738483
414.85,0.5248694257236318,9.655309924386767e-09,1.5548428239571397e-10,62.09830199951402
417.85,0.5311469151365618,5.6395322490925044e-09,1.289488628855497e-10,43.73464118173688
420.85,0.5387060933225644,9.665764264400841e-09,1.698711321894196e-10,56.900570095822744
423.85,0.5454055211166219,7.582194827998178e-09,1.6320560601859366e-10,46.45793127433598
426.85,0.5461443242251091,8.849222102274373e-09,1.4394889080823055e-10,61.47475018799104
429.85,0.5389616242421874,8.402157912991957e-09,2.043404164302572e-10,41.11843393379631
432.85,0.5311746022842989,5.311563416386302e-09,1.9665439436125912e-10,27.009635018014524
435.85,0.5259129040671898,6.9313330773029536e-09,1.3217615736885703e-10,52.44011639678742
438.85,0.5316622090415427,1.1592750465142237e-08,1.7020118591183208e-10,68.11204283351782
441.85,0.5337415084491896,6.440679451439355e-09,1.3783219648985083e-10,46.72841045461834
