Time(s),Mean RR Interval (s),LF Power,HF Power,LF_div_HF
95.57,0.8970970369095687,5.2688417411654215e-09,1.6859401163042527e-10,31.251654137723726
98.57,0.8146064812035066,4.772109401016793e-09,1.5815647925584716e-10,30.173341133226856
101.57,0.7867270241315815,4.02644753104987e-09,1.0909412620978032e-10,36.90801394116577
104.57,0.7708473303128113,5.371678264698539e-09,1.3944614187423394e-10,38.52152660876943
107.57,0.7552830343455404,6.322664512060182e-09,1.4286104027239532e-10,44.257444156956026
110.57,0.7751599135916338,8.622954596024973e-09,1.579062532162424e-10,54.60806282456968
113.57,0.805416578900728,5.944113846442353e-09,1.613403497172163e-10,36.842078605015374
116.57,0.8034115157891951,8.32766887547468e-09,1.680255465723512e-10,49.5619210611454
119.57,0.8132648732895493,8.358842382566843e-09,1.5662011606894443e-10,53.37017103784591
122.57,0.8475640847448774,4.033941286043774e-09,1.6681764706981238e-10,24.181741901416398
125.57,0.8713118590348058,8.449150220966914e-09,1.4249501039167457e-10,59.29435843222034
128.57,0.9127894601871501,5.108284924452294e-09,1.6009423657031255e-10,31.907987657061984
131.57,0.9434330953701292,1.1189924924787892e-08,1.5808592517359966e-10,70.78381527324362
134.57,0.9347350978246199,6.023185060174905e-09,2.2910832977472434e-10,26.289681680702447
137.57,0.9333883983114294,2.6987814072624527e-09,2.021967166384085e-10,13.347305792747985
140.57,0.9274930059557613,7.082988055585117e-09,1.567566166761303e-10,45.18461935306403
143.57,0.8999180034796224,6.918007080209163e-09,1.5672017683027124e-10,44.14241497252393
146.57,0.8836859021425681,1.2339565839499475e-08,1.6509101296849965e-10,74.74401917840275
149.57,0.8936347079476109,9.001264344663284e-09,1.4543242532022421e-10,61.893104820631386
152.57,0.9016085504455731,7.349399459775928e-09,1.7623790328325075e-10,41.70158247947335
155.57,0.9196707409368096,6.542964872754506e-09,1.5686587058265574e-10,41.71056998218671
158.57,0.9458921274124723,5.930511820541073e-09,1.7922539869076302e-10,33.08968407303491
161.57,0.9837028985743075,1.3472653663190714e-08,1.6820125107735307e-10,80.09841530248104
164.57,0.9448678531049443,1.0159753074219054e-08,1.5725869460709165e-10,64.60535043612714
167.57,0.9092560010380678,9.139138793685753e-09,1.6647982073948055e-10,54.896375747468674
170.57,0.8804582767836805,4.110283419240976e-09,1.5499071042022177e-10,26.519546933470302
173.57,0.8525515266675671,5.869166166661708e-09,1.342912942959737e-10,43.70474048545734
176.57,0.8246675397168328,3.739566907492227e-09,1.4343999175228243e-10,26.070601802253123
179.57,0.8449832437155171,1.2292568570024645e-08,2.2562857354073246e-10,54.48143547211445
182.57,0.8626941836866832,4.389059862787493e-09,1.7710869893489466e-10,24.781729464349553
185.57,0.8719442561399298,4.7846294305613165e-09,1.7055042076833434e-10,28.05404647497455
188.57,0.883823272260385,6.391919670876187e-09,1.910509632228383e-10,33.456621013843154
191.57,0.8927134033595644,6.498566765180417e-09,1.6342076039824131e-10,39.76585807913272
194.57,0.9084694604954766,7.325770517156738e-09,1.7804152259873827e-10,41.14641579238355
197.57,0.914969446878132,5.813658170644112e-09,1.7076550654658466e-10,34.04468670643478
200.57,0.9049931208066025,7.55862983327127e-09,1.8325478226794856e-10,41.24656251654766
203.57,0.8838625096056205,9.115806819253153e-09,1.5072031888812083e-10,60.48160517773177
206.57,0.8773647969735614,8.454187359509685e-09,1.4393540777518747e-10,58.73598088327419
209.57,0.8671106858270267,3.815219151669812e-09,1.8527436990882882e-10,20.592266234920857
212.57,0.8703788120824262,8.058974140875624e-09,1.560002559067119e-10,51.66000590213703
215.57,0.8967157779899901,8.998873574217544e-09,1.7882612624662038e-10,50.32191751336789
218.57,0.9349231559148784,5.708582469884643e-09,1.9169691499689513e-10,29.779208861953272
221.57,0.9544457478449111,6.182670215009906e-09,1.5153892144462017e-10,40.79922277439041
224.57,0.9635084641085876,7.562951196977163e-09,1.9332461249577632e-10,39.12047772573394
227.57,0.9588525381577112,1.0482306208319411e-08,1.883060554987489e-10,55.666325655624256
230.57,0.9513618478538639,7.149707818102995e-09,1.7117595857869073e-10,41.768177479293776
233.57,0.9350271443863271,4.0309756901086805e-09,2.543897081631901e-10,15.84567127032837
236.57,0.9082058906868614,8.368783569740493e-09,1.5449083534042486e-10,54.1700972183861
239.57,0.8955247512350394,7.015418159717877e-09,1.5525069697483607e-10,45.187675781287965
242.57,0.8929360683455378,6.822391692825904e-09,1.5523258051536744e-10,43.94948322172942
245.57,0.885113571414068,4.6088747488278965e-09,1.5266468435743385e-10,30.189527907038
248.57,0.8960585985198635,6.4906118924083055e-09,1.3398496439628448e-10,48.44283775910229
251.57,0.9262373804607625,9.192590333468834e-09,1.750559460333401e-10,52.51229987765208
254.57,0.9523906857981999,7.1080231266338225e-09,2.2923743560528455e-10,31.00725284186508
257.57,0.9158470326047569,6.835157303965872e-09,1.8753680811348515e-10,36.447017376075195
260.57,0.9084272197009554,7.778237226024311e-09,1.6684440035053037e-10,46.619708001483346
263.57,0.8851785133811005,2.9089495303429927e-09,1.4379509935630986e-10,20.22982384910703
266.57,0.8608510496875735,7.090477461844986e-09,1.5130971078287063e-10,46.86069007176821
269.57,0.8309610863562851,4.138084867183743e-09,1.3284820881294448e-10,31.148969972266087
272.57,0.8574463879515412,1.0539918591667222e-08,1.558358070379746e-10,67.63476759291154
275.57,0.8723897881056578,7.360598208877547e-09,1.6759874513573653e-10,43.9179792361588
278.57,0.8773460864351447,5.9125056044727485e-09,1.359905814634807e-10,43.47731689095329
281.57,0.8810825641372909,2.7694491836323278e-09,2.1229371663229283e-10,13.045365767603958
284.57,0.9006002957643006,7.36639027432953e-09,1.7143660226979178e-10,42.96859700203902
287.57,0.9021026925318747,8.250943572014026e-09,1.6667358210089424e-10,49.503607398438206
290.57,0.8788685189161519,7.328146918236117e-09,2.014410082668365e-10,36.37862509369975
293.57,0.87471784628489,5.330695745984576e-09,1.8015577494867406e-10,29.589369241720274
296.57,0.8641755747324092,7.688248464002507e-09,1.545058783454108e-10,49.76023272599884
299.57,0.8459935053158977,6.0314192160978215e-09,1.6534027971863085e-10,36.47882552492253
302.57,0.8318862282755374,6.947788420960808e-09,1.6039474523167832e-10,43.316808234117914
305.57,0.8405540188729983,1.0967542003222762e-08,1.5191000207395438e-10,72.1976292112973
308.57,0.8563754026788555,5.494439229848592e-09,1.3504101635989318e-10,40.687188070367824
311.57,0.8828909447160184,1.1115560141677562e-08,1.7908969331456386e-10,62.0670008192684
314.57,0.8708217920196129,6.201047250955266e-09,2.0596661062130483e-10,30.107051003313643
317.57,0.8648777739889555,7.795976185791034e-09,1.6834703507229809e-10,46.30896043071376
320.57,0.8660014586997198,4.572358078168604e-09,2.1637544442955227e-10,21.131594161357235
323.57,0.8296370412236692,3.775951136161899e-09,1.2132452492459548e-10,31.122735807197216
326.57,0.7906482093577827,6.1071764780925166e-09,1.4354139427994493e-10,42.54644807324258
329.57,0.7938894807470579,7.896179674390842e-09,1.2094574668330567e-10,65.28695626698516
332.57,0.7984990067903288,4.795773160539273e-09,1.6393610470843277e-10,29.253916756584868
335.57,0.7754747232677798,6.7764506938035655e-09,1.20079298879883e-10,56.43313008166498
338.57,0.785499041690303,5.3458419197284086e-09,2.139414036317075e-10,24.987411641605778
341.57,0.8078433885393865,5.442189908726706e-09,1.568814845397972e-10,34.68981648593559
344.57,0.8295800966774176,7.737919405591672e-09,1.1211120344208673e-10,69.02003696346769
347.57,0.8414202646374699,6.715956730127869e-09,1.63900559133845e-10,40.97580121519575
350.57,0.8694540890430064,5.6929252623170215e-09,1.7093036444713e-10,33.305523455300914
353.57,0.8918387793886854,7.849560800994266e-09,1.5264116499688362e-10,51.42492722166085
356.57,0.891655488368746,4.892429102547189e-09,1.7470813083320882e-10,28.003442537072967
359.57,0.891350492500434,5.056162639964479e-09,2.160573189600781e-10,23.401950298655372
362.57,0.8951750486097366,7.526465523254964e-09,1.6897104201461006e-10,44.542931342070965
365.57,0.8902544479812967,4.41312069203813e-09,1.9951488702122763e-10,22.119255148958338
368.57,0.8748402289427215,7.492721350676631e-09,1.970945302616932e-10,38.015876649281616
371.57,0.869426272250013,7.1930479805547935e-09,1.4474445002166593e-10,49.69481026373107
374.57,0.8592198001128843,8.426236084146519e-09,1.5742748249156573e-10,53.524555883042595
377.57,0.848500347103785,5.235576177318109e-09,1.763483319028835e-10,29.688833009213745
380.57,0.8417734232169787,5.2129222270223934e-09,1.4978340298437746e-10,34.803069787151955
383.57,0.8369900761745539,1.0569834500877485e-08,1.636185316709997e-10,64.60047277609763
386.57,0.8347562203746866,1.1474099267987603e-08,1.4483876050468716e-10,79.21981124394038
389.57,0.8334462996609537,2.134799992456034e-09,1.1094175721849956e-10,19.242529106975923
392.57,0.8373660853469066,4.740971400955367e-09,2.0449799378816055e-10,23.18346167183693
395.57,0.8590811786221163,3.7277335215210365e-09,1.8472383074148401e-10,20.180035821896194
398.57,0.8874748785211158,5.154313124396641e-09,1.9325459759730116e-10,26.67110220651548
401.57,0.9043848430774591,9.913050771846166e-09,1.649962628792957e-10,60.08045636220339
404.57,0.9195645092099984,7.145482445441853e-09,1.9332360166157928e-10,36.96125244940505
407.57,0.9374631679683304,3.823703142684231e-09,1.0448475143135638e-10,36.59580072979643
410.57,0.9243495429008975,5.7429923180166e-09,2.1057923709111627e-10,27.272357889356606
413.57,0.9145671880535747,5.745145853976588e-09,1.8115596796712973e-10,31.713809478355298
416.57,0.9135969663709714,6.4738386240741715e-09,1.5885672555248608e-10,40.75268832061644
419.57,0.9010367042825841,7.731228618067487e-09,1.8830125372792626e-10,41.05776496442359
422.57,0.8640494632230363,8.20396807396012e-09,1.733881963022563e-10,47.31560884143854
425.57,0.8468634379754381,9.980427409492615e-09,1.379523459978158e-10,72.34692050580014
428.57,0.8193685670492402,6.2317590638133175e-09,1.4922285143919997e-10,41.76142597269972
431.57,0.7922241664054036,4.109117990327091e-09,1.656367751613482e-10,24.8080052652822
434.57,0.7890537340032678,6.836615112828208e-09,1.4054546682353104e-10,48.643440925862556
437.57,0.7648598429902865,5.456755340248239e-09,1.612379358106722e-10,33.842875206834925
440.57,0.7303050189985255,4.531980012220899e-09,1.404718373424364e-10,32.26255239456309
443.57,0.7392329873624259,6.0354703866239834e-09,1.1741167592231626e-10,51.4043457706648
446.57,0.7599200820864546,4.042893250952472e-09,1.341838958530313e-10,30.129496727241882
449.57,0.7675554843180638,4.820974134178766e-09,1.4439105333550796e-10,33.38831612355317
452.57,0.8152643122822626,7.446901641809206e-09,2.0044257575212806e-10,37.152294685228036
455.57,0.878431062758202,5.560736675160645e-09,1.7773493387803913e-10,31.28668379271121
458.57,0.9092960814436748,7.861293661974606e-09,1.5309952113271218e-10,51.3476045111869
461.57,0.917261644163951,4.394714593870868e-09,1.531040897817169e-10,28.704096671333122
464.57,0.9014500968461502,8.088069672642292e-09,1.7174688805036552e-10,47.092962000396945
467.57,0.896629667714576,6.796397263795534e-09,1.6254558694015285e-10,41.812253360639545
470.57,0.892647029726605,6.077291869556478e-09,1.6456734901021632e-10,36.92890422133008
473.57,0.8737970628769368,5.8004537732025565e-09,1.4489766094954172e-10,40.03138308231539
476.57,0.859940137253863,5.493983263439298e-09,1.5458949382839204e-10,35.53917622330857
