Time(s),alphas
739.53,2.0912217855933104
742.53,2.0503913807420986
745.53,2.0588017434001737
748.53,2.0960182972015606
751.53,2.089385430231328
754.53,2.0931291695581375
757.53,2.100196673172326
760.53,2.104528616156375
763.53,2.0902208527744484
766.53,2.0928562247424254
769.53,2.0785397935774372
772.53,2.014743677774771
775.53,1.9986393032503407
778.53,2.0899264206893258
781.53,2.0980647496949123
784.53,2.094799829590132
787.53,2.089480561625949
790.53,2.1081875639687033
793.53,2.0843428925765424
796.53,2.097321538617613
799.53,2.0518252892301523
802.53,2.1076930783374963
805.53,2.1020833868431277
808.53,2.099186109061165
811.53,2.095660026162903
814.53,2.0859771375687344
817.53,2.0910733152156533
820.53,2.1069150308357796
823.53,2.097999603744814
826.53,2.097240305365502
829.53,2.092940369310199
832.53,2.101683483108507
835.53,2.0879344740289056
838.53,2.1063359240444264
841.53,2.0764468401743503
844.53,2.087317455683376
847.53,2.100238044258261
850.53,2.086365764448346
853.53,2.018675741630951
856.53,2.0818187047293333
859.53,2.081848012810525
862.53,2.1034404151840866
865.53,2.100421515438093
868.53,2.100773490101568
871.53,2.0990129567946587
874.53,2.1021190654593203
877.53,2.0995192527993884
880.53,2.0974175015648497
883.53,2.0991233554210327
886.53,2.0665310558090595
889.53,2.0945672860953235
892.53,2.0957097888929783
895.53,2.1000513974651263
898.53,2.1000948722595307
901.53,2.1021836372540044
904.53,2.0983570342932656
907.53,2.10603906551113
910.53,2.092760302967301
913.53,2.09449740683333
916.53,2.068520122901992
919.53,2.0946540035964145
922.53,2.098999966721265
925.53,2.082641994835313
928.53,2.0633532041475697
931.53,2.0930285926041274
934.53,2.0985295904813004
937.53,2.0988165331763535
940.53,2.0972197847414122
943.53,2.0915823241623746
946.53,2.097325648037398
949.53,2.106514495906812
952.53,2.096288386573907
955.53,2.0929115234341475
958.53,2.093109075674148
961.53,2.094094034979228
964.53,2.0815707591423966
967.53,2.0955902456371325
970.53,2.071186934286097
973.53,2.057587617155494
976.53,2.102680012911454
979.53,2.101162444408129
982.53,2.0969920750427864
985.53,2.0742667770890026
988.53,2.1031555004972313
991.53,2.086975282845299
994.53,2.0892999747055754
997.53,2.091401133808782
1000.53,2.0996204007945263
1003.53,2.09362351824491
1006.53,2.0135869841900806
1009.53,2.086734612187909
1012.53,2.100624833119331
1015.53,2.089663138266755
1018.53,2.048714978548034
1021.53,2.098629526793687
1024.53,2.090210368848723
1027.53,2.0149140886121018
1030.53,2.0255880020670687
1033.53,1.9523540109052984
1036.53,2.0777541722071415
1039.53,2.1079235200367914
1042.53,2.100658794856009
1045.53,2.104410823956084
1048.53,2.1056072799283694
1051.53,2.1044544525070945
1054.53,2.1049138136265504
1057.53,2.091249172441039
1060.53,2.098003797563342
1063.53,2.105405314967458
1066.53,2.09414177784313
1069.53,2.054065347551644
1072.53,2.0544850741358074
1075.53,2.089154191386696
1078.53,2.086339719827948
1081.53,2.053234488815064
1084.53,2.0865113988796695
1087.53,2.092318613941125
1090.53,2.0965070975162226
1093.53,2.0492445623836306
1096.53,2.0752122521188925
1099.53,2.0970603409953363
1102.53,2.0863555328328247
1105.53,2.099107098299154
1108.53,2.001596302943191
1111.53,2.092114373595492
1114.53,2.095079886548366
1117.53,2.089250448464601
1120.53,2.104515340227802
1123.53,2.107941116588364
1126.53,2.0975367809728076
1129.53,2.1020142964706254
1132.53,2.1075021204079003
1135.53,2.1042973621384293
1138.53,2.0961493585747935
1141.53,2.095252918599434
1144.53,2.1087652803854064
1147.53,2.057735983111256
1150.53,2.0938449991601735
1153.53,2.0859090950282986
1156.53,2.0902858744936936
1159.53,2.0899118497282676
1162.53,2.0951755449527196
1165.53,2.106634418186315
1168.53,2.1004004991592073
1171.53,2.0864375942787903
1174.53,2.0995471561629673
1177.53,2.100718433094199
1180.53,2.0584174188988364
1183.53,2.101419197320455
1186.53,2.0619303526555597
1189.53,2.087887879640315
1192.53,2.103120330500569
1195.53,2.099669470784901
1198.53,2.0895578285304666
1201.53,2.0953457825682187
1204.53,2.099760688258508
1207.53,2.0899087034182986
1210.53,2.0915698766173487
1213.53,2.081709013072425
1216.53,2.065858056520699
1219.53,2.050301783815605
1222.53,2.0762843788525007
1225.53,2.0961627434513606
1228.53,2.1050710300247713
1231.53,2.0827969503824164
1234.53,2.087962276280558
1237.53,2.074365134903961
1240.53,2.099364033508151
1243.53,2.0923972272185045
1246.53,2.0946435030554977
1249.53,2.0830220075472123
1252.53,2.092696544076686
1255.53,2.0956845439466516
1258.53,2.1009165705456923
1261.53,2.0619620618791052
1264.53,2.0930469748321014
1267.53,2.080665585002174
1270.53,2.0965508131972164
1273.53,2.1088374924968107
1276.53,2.0937896125314044
1279.53,2.084542649983337
1282.53,2.07333159429448
1285.53,2.095373974934761
1288.53,2.088996952081754
1291.53,2.0949359217927146
1294.53,2.089829486069736
1297.53,2.1028806960951525
1300.53,2.0952801085392236
1303.53,2.060847802164942
1306.53,2.1075986355808647
1309.53,2.09569308642288
1312.53,2.102238397555935
1315.53,2.0927560697527348
1318.53,2.100072722417367
1321.53,2.088383525965567
1324.53,1.9564679377960137
1327.53,1.9262629337762427
1330.53,1.9565606573036214
1333.53,2.0766808554244207
1336.53,2.1086474000740694
1339.53,2.08986087789155
1342.53,2.062434470794924
1345.53,2.0843749365338313
1348.53,2.0854607842299613
1351.53,2.096249442496405
1354.53,2.0909882318981787
1357.53,2.084765913548433
1360.53,2.01363344596834
1363.53,2.0635798835459793
1366.53,2.0961599703695533
1369.53,2.0881042871141795
1372.53,2.093299155822223
1375.53,2.0765587698084094
1378.53,1.9332628005870938
1381.53,2.0580743338267005
1384.53,2.0523434448212217
1387.53,2.075024644635569
1390.53,2.090154166087168
1393.53,2.0880497713158466
1396.53,2.099816261671839
1399.53,2.0786252372926985
1402.53,2.098299968993758
1405.53,2.082586892985084
1408.53,2.085333629820787
1411.53,2.1013228730319335
1414.53,2.0929522367546847
1417.53,2.0976303436342585
1420.53,2.0468202086411753
1423.53,2.068928884739617
1426.53,2.094543572318947
1429.53,2.090175409413107
1432.53,2.084451387986246
1435.53,2.0832884892402435
1438.53,2.092930635065413
1441.53,2.085152950984242
1444.53,2.0910793109929244
1447.53,2.1113665406721522
1450.53,2.1124126959832683
1453.53,2.090589130304306
1456.53,2.0379280508957796
1459.53,2.0764743805519097
1462.53,2.1009314369790677
1465.53,2.0810607411172435
1468.53,2.09591202603197
1471.53,2.0976495674377658
1474.53,2.090308248229555
1477.53,2.085609501934047
1480.53,2.106152220724441
1483.53,2.069036433175277
1486.53,2.0928348071892025
1489.53,2.094900250295902
1492.53,2.088051926455841
1495.53,2.090843004003063
1498.53,2.0951117568275355
1501.53,2.088267179556843
1504.53,2.100240953098191
1507.53,2.1010461337247794
1510.53,2.058247224401233
1513.53,2.0360515249163926
1516.53,2.099892255752023
1519.53,2.1043452781196703
1522.53,2.0976488124625408
1525.53,2.0980241193114955
1528.53,2.0926868392025924
1531.53,2.1068177705411935
1534.53,2.0984999873165187
1537.53,2.093152843231709
1540.53,2.104605453322498
1543.53,2.0677288073502247
1546.53,2.0661013522026015
1549.53,2.0539397572221993
1552.53,2.068579396783579
1555.53,1.9400018965756862
1558.53,1.918127817886645
1561.53,2.0650102633312297
1564.53,2.0869631397448956
1567.53,2.102361371050114
1570.53,2.0945966232485684
1573.53,2.097333312706031
1576.53,2.0845159459587044
1579.53,2.095928350713368
1582.53,2.065079373314261
1585.53,2.09178870854585
1588.53,2.1029253463743025
1591.53,2.0902429665188125
1594.53,2.096953795367939
1597.53,2.1010985528481525
1600.53,2.1094535573085844
1603.53,2.103679254954275
1606.53,2.09990789547248
1609.53,2.0712888716178877
1612.53,2.0942735299546245
1615.53,2.1018931082673413
1618.53,2.066290620639869
1621.53,2.083997311579154
1624.53,2.095599412185112
1627.53,2.0735964047076094
1630.53,2.0789971170457604
1633.53,2.101445057146411
1636.53,2.0965225716992637
1639.53,2.103258097760862
1642.53,2.0887912915234277
1645.53,2.00643353285178
1648.53,2.0012971127995347
1651.53,2.0973029004207824
1654.53,2.030298192009393
1657.53,2.0213579573016442
1660.53,2.098627883766198
1663.53,2.089967836185377
1666.53,2.098716302646092
1669.53,2.089323307127799
1672.53,2.0928316000188962
1675.53,2.092769062599447
1678.53,2.1048991064387987
1681.53,2.085091861238481
1684.53,2.0835415081325506
1687.53,2.091228730044746
1690.53,2.0965826370655125
1693.53,2.0922406429468525
1696.53,2.092662697453835
1699.53,2.0997543008877364
1702.53,2.0980697463633673
1705.53,2.0968947297006326
1708.53,1.9913389995799156
1711.53,2.096721637847687
1714.53,2.0779122118436213
1717.53,2.0581628389356887
1720.53,2.099383083684457
1723.53,2.096860349512722
1726.53,2.104041917253587
1729.53,2.088611843931999
1732.53,2.0842786717648267
1735.53,2.0983203287763983
1738.53,2.105940907856045
1741.53,2.0859331164645187
1744.53,2.102144478515855
1747.53,2.0818116457040934
1750.53,2.0460020212808674
1753.53,2.069052561814407
1756.53,2.0916197666259473
1759.53,2.0986670027870233
1762.53,2.095365690220844
1765.53,2.1001395945606256
1768.53,2.0957570793154554
1771.53,2.0775821672313195
1774.53,2.0978043459252547
1777.53,2.097600437330499
1780.53,2.108935017886603
1783.53,2.094503034416468
1786.53,2.0705738749362697
1789.53,2.094731346534004
1792.53,2.1099834589785775
1795.53,2.107083241504133
1798.53,2.0954207721218014
1801.53,2.0952072430127866
1804.53,2.1060049635532976
1807.53,2.106471954176051
1810.53,2.098847770647325
1813.53,2.092911360619089
1816.53,2.0891146889320846
1819.53,2.0892430332855865
1822.53,2.093711102725152
1825.53,2.103163171019179
1828.53,2.093375318767711
1831.53,2.070989197025333
1834.53,1.8272168925052108
1837.53,2.0820571865947186
1840.53,2.0954895074982507
1843.53,2.115952598969987
1846.53,2.0971146438519708
1849.53,2.0875690092524026
1852.53,2.094953443633476
1855.53,2.0851240958295967
1858.53,2.0491295233645452
1861.53,2.101651571450009
1864.53,2.0912908125994973
1867.53,1.9614716082752075
1870.53,2.080474889226283
1873.53,2.0940190141020394
1876.53,2.0660357123465576
1879.53,2.0780796634037477
1882.53,2.0963754926001927
1885.53,2.1050618066310487
1888.53,2.0895273671643575
1891.53,2.07582550308192
1894.53,2.0912823613658387
1897.53,2.0872492530835345
1900.53,2.1037690584179742
1903.53,2.0812960049450613
1906.53,2.095050804230588
1909.53,2.083587736913072
1912.53,2.0974508128765894
1915.53,2.09502957907188
1918.53,2.0953182845032092
1921.53,2.104523093292866
1924.53,2.0933326022102525
1927.53,2.0801162193780853
1930.53,2.097771848661545
1933.53,2.1111136182003047
1936.53,2.1049535159161286
1939.53,1.9796127079436543
1942.53,2.096350866145706
1945.53,2.1001468953440523
1948.53,2.0793010266006826
1951.53,2.054658851031727
1954.53,2.101916024982633
1957.53,2.0932675978111064
1960.53,2.107256190486361
1963.53,2.046187404653826
1966.53,2.0616668071050017
1969.53,2.0945463202713857
1972.53,2.098701369341766
1975.53,2.084053163791276
1978.53,2.0708837836129166
1981.53,2.0669393829924094
1984.53,2.1001072844403126
1987.53,2.0871927839006386
1990.53,2.05418798268055
1993.53,2.0896172369435435
1996.53,2.102424575012437
1999.53,2.1000748056958756
2002.53,2.08214802480248
2005.53,2.064637091491574
2008.53,2.1028667046979503
2011.53,2.094309314206097
2014.53,2.0876552103585175
2017.53,2.097585821456414
2020.53,2.0965715083172216
2023.53,2.091162574660071
2026.53,2.018708009351153
2029.53,2.0847658294898164
2032.53,2.0976481538907317
2035.53,2.0871955955039065
2038.53,2.040405857073329
2041.53,2.09663747127326
2044.53,2.1014589221217763
2047.53,2.0661634077657736
2050.5299999999997,2.0752641514025605
2053.5299999999997,2.1000569389259587
2056.5299999999997,2.089477420776065
2059.5299999999997,2.0967468014722064
2062.5299999999997,2.1026476904144284
2065.5299999999997,2.103113221515864
2068.5299999999997,2.1064296200690733
2071.5299999999997,2.0991883726058025
2074.5299999999997,2.095732527334041
2077.5299999999997,2.0949817263095274
2080.5299999999997,2.097876536101612
2083.5299999999997,2.1036722500241734
2086.5299999999997,2.0955368788329687
2089.5299999999997,2.026742858789983
2092.5299999999997,1.9620525006266771
2095.5299999999997,2.0662276967108286
2098.5299999999997,2.066071161602683
2101.5299999999997,2.0971485282392726
2104.5299999999997,2.1022920953554887
2107.5299999999997,2.109094199978289
2110.5299999999997,2.0899244857868418
2113.5299999999997,2.093720779842588
2116.5299999999997,2.1007912457559765
2119.5299999999997,2.091361910873065
2122.5299999999997,2.0471664798025175
2125.5299999999997,2.021358282182557
2128.5299999999997,2.079683764427403
2131.5299999999997,2.0614215829664424
2134.5299999999997,2.0976235818448834
2137.5299999999997,2.0653634728246346
