Time(s),SampEn
162.36,-1.704287390198158e-06
165.36,0.0038069735860421275
168.36,0.0035256505408769196
171.36,0.003444797753560197
174.36,0.004398094194132713
177.36,0.0032744305724970745
180.36,0.003458513162724733
183.36,0.002575660224042468
186.36,0.0019807450195655964
189.36,0.0007421327009612696
192.36,0.003545443453377362
195.36,0.002188941502912127
198.36,0.0017336564364000674
201.36,0.00016531477789074757
204.36,0.004938023555604237
207.36,0.003300109127649713
210.36,0.0003834597868565713
213.36,0.000899740203953391
216.36,0.003541364507159213
219.36,0.003119840806060596
222.36,0.00070457118811856
225.36,0.0038719686624325658
228.36,0.002462183735895553
231.36,0.00263593563603786
234.36,-1.704287390198158e-06
237.36,-1.704287390198158e-06
240.36,0.002311707398786633
243.36,0.003553157879142892
246.36,0.0001343414292761962
249.36,-1.704287390198158e-06
252.36,-1.704287390198158e-06
255.36,0.0018533702743904965
258.36,0.0024417219930656987
261.36,-1.704287390198158e-06
264.36,-1.704287390198158e-06
267.36,-1.704287390198158e-06
270.36,-1.704287390198158e-06
273.36,0.00036278600625467124
276.36,0.0013088194369030271
279.36,0.0010082921037225401
282.36,0.0036070395024361108
285.36,0.0007702491772864992
288.36,0.002636653803417884
291.36,0.002760328556413353
294.36,0.00281186852665195
297.36,0.003514717888917716
300.36,0.001422284643403263
303.36,0.002898350392262808
306.36,0.0038425713728362882
309.36,0.00286826959320856
312.36,0.0036735828824826936
315.36,0.0025752620419658714
318.36,0.002478785454163586
321.36,0.001014658305189685
324.36,0.001136653359607434
327.36,0.0012619463818635344
330.36,0.002912577765444953
333.36,0.0014543689561125307
336.36,0.0017292935414261474
339.36,-1.704287390198158e-06
342.36,0.002390109628593679
345.36,0.002613607976141294
348.36,0.002455968292462267
351.36,0.002479158641139922
354.36,-1.704287390198158e-06
357.36,0.00151336646052803
360.36,0.003816568156015494
363.36,0.00017769878771600904
366.36,-1.704287390198158e-06
369.36,0.0010572214254633188
372.36,0.002841603675989817
375.36,0.0011715489090227361
378.36,0.0014789030732229892
381.36,0.0007852109959846636
384.36,0.002050239066902137
387.36,0.0025397036760958676
390.36,0.0010424510432542012
393.36,0.0013887921761168835
396.36,0.0006915956007349746
399.36,-1.704287390198158e-06
402.36,0.00017793391846403103
405.36,0.0034628332551029347
408.36,0.0004003945290919653
411.36,0.0002576062924289965
414.36,0.0016432272740360822
417.36,-1.704287390198158e-06
420.36,0.00044647660903315557
423.36,0.0025887893017314196
426.36,0.0022772550724166653
429.36,-1.704287390198158e-06
432.36,0.0015954424589930954
435.36,0.0038400597226708817
438.36,0.003864109662112333
441.36,0.0027679161288899383
444.36,1.8795915323685955e-05
447.36,0.0012227462460582391
450.36,-1.704287390198158e-06
453.36,0.001703916463656028
456.36,0.0022385355550866627
459.36,0.0007637885693913317
462.36,0.0005850968184628307
465.36,0.0036106010632154153
468.36,0.0022484062501124296
471.36,0.0017770557704184491
474.36,0.004434404848464866
477.36,0.00232127427875713
480.36,0.001453676285108248
483.36,0.0030964390118907517
486.36,0.0021745024602705674
489.36,0.004764341070371342
492.36,0.0009824661259993151
495.36,0.004769627662955199
498.36,0.0035250686296445224
501.36,0.0007501144164644963
504.36,0.0021337030523192646
507.36,0.004546685413901317
510.36,0.0024801295276629305
513.36,0.003660719588977029
516.36,0.0024352093418578587
519.36,0.0029019121801529533
522.36,0.004337704330300474
525.36,0.0019394290022173432
528.36,0.003943138520570864
531.36,0.0045805273961482896
534.36,0.00431117354218607
537.36,0.0032675493431261263
540.36,-1.704287390198158e-06
543.36,0.002074258757396031
546.36,0.003263557995205427
549.36,0.0033895272817439336
552.36,0.0005255326996517121
555.36,0.0022821167190034334
558.36,0.0038990298259913387
561.36,0.0033027126636662203
564.36,0.0009358982956998188
567.36,0.0018673438436829534
570.36,0.0025964826695429673
573.36,-1.704287390198158e-06
