Time(s),Mean RR Interval (s),LF Power,HF Power,LF_div_HF
420.85,0.6337912590923377,5.713664546754791e-09,1.2876740250617653e-10,44.37197951927877
423.85,0.6423474286181458,6.2326484362771745e-09,1.5109970785398687e-10,41.24858032353053
426.85,0.6509538161106326,5.43098230968416e-09,1.5475623833886405e-10,35.09378599518643
429.85,0.6764264890474276,8.062639499911331e-09,1.614102369420923e-10,49.951227708090734
432.85,0.6915749697500185,8.260956971099864e-09,1.6815983917621385e-10,49.12562364217801
435.85,0.6838631941437897,6.857662736917231e-09,1.5591129230777538e-10,43.9843877592902
438.85,0.681394261844281,6.129879955659196e-09,1.2274036393087387e-10,49.941842759334506
441.85,0.6911827010947755,5.285033267646304e-09,1.3158530654875423e-10,40.16431170214376
444.85,0.6806675328805168,7.0117211780583814e-09,1.263662825950458e-10,55.487278996155865
447.85,0.6822963792965774,8.113121871638436e-09,1.3095183731461444e-10,61.955006038949236
450.85,0.6892603141155479,8.872953048003352e-09,1.40702954495637e-10,63.06159724797029
453.85,0.6864433987123046,4.067962694718882e-09,1.299936189112639e-10,31.29355678216598
456.85,0.6743478654961731,5.943635207152809e-09,1.4326791490048514e-10,41.48615697577017
459.85,0.6748251317911027,4.820002368752875e-09,1.36633752224525e-10,35.27680598884783
462.85,0.6750551540530726,6.469884730847358e-09,1.3960360586171648e-10,46.34468207974559
465.85,0.6712002038666526,6.246147635095979e-09,1.6113112533199562e-10,38.76437666668296
468.85,0.677524532281686,2.341770657925405e-09,1.5189819354006288e-10,15.416711702419073
471.85,0.6776979420281926,8.98089932212624e-09,1.433605733727503e-10,62.64553154914566
474.85,0.670340312992353,3.8812272853426795e-09,1.476873545518635e-10,26.28002442808809
477.85,0.6682814497968659,7.289580709490476e-09,1.8659017071705183e-10,39.067335012756416
480.85,0.6711458640920772,4.2212764902392115e-09,1.563498128503501e-10,26.998922565258187
483.85,0.6809507892014889,4.351368479390064e-09,1.159975697087393e-10,37.512583154250606
486.85,0.6872984765046973,7.11926612694267e-09,1.5360245723714126e-10,46.34864737841722
489.85,0.6969605256431141,9.561809762090156e-09,1.9822119945063294e-10,48.238078412352294
492.85,0.7050229861924314,8.730017516174185e-09,1.434880061733394e-10,60.84144416661533
495.85,0.7210007125172778,6.754352026865118e-09,1.548551170470979e-10,43.61723497203414
498.85,0.7128955123071538,7.106641317786249e-09,1.5917546242887698e-10,44.64658816971648
501.85,0.7093343191229712,4.711751101024696e-09,1.523930767509465e-10,30.918406541033576
504.85,0.7161661589864748,6.499997975638847e-09,1.4432868766090845e-10,45.03607758777798
507.85,0.7180407156733656,5.609312079864872e-09,1.3330141201425647e-10,42.07991494692465
510.85,0.7071605470387105,5.907569734712184e-09,1.2801653242053896e-10,46.14692823662496
513.85,0.7222490823984984,6.741920865700029e-09,1.7215428064632063e-10,39.16208670727654
516.85,0.729585439269838,5.3301701478371254e-09,1.5047795814750683e-10,35.421600701228265
