Time(s),Mean RR Interval (s),LF Power,HF Power,LF_div_HF,alphas,SampEn
425.27,1.0037008801771796,7.972995593400112e-07,2.213958753956505e-07,3.601239444570406,1.7134537749473333,0.0013063275564605
428.27,1.00870433742247,1.0678959851101856e-06,2.9020971705384936e-07,3.679738900376082,1.855319177309043,0.0016567130674724
431.27,1.0127230261575886,1.5846916616557468e-06,4.464999543930676e-07,3.549141821996009,1.8606205101782607,0.0013046277414013
434.27,1.0096326061195449,3.838734633215081e-06,1.0803377778085785e-06,3.5532726079447112,1.9501033603623688,0.0013046277414013
437.27,1.000303611764583,5.006752564674262e-06,1.38389602418525e-06,3.6178675833843226,1.9800095803087177,0.0017238271331761
440.27,1.0171979309195012,1.3188226197295317e-06,3.675942286539232e-07,3.5877130730775315,1.832382404227117,0.0028803907718384
443.27,1.0228977973726328,2.6765990861838017e-06,7.430135243690416e-07,3.602355809682924,1.953315252896604,0.0013046277414013
446.27,1.028499778026485,6.009265447368433e-06,1.7014048169127206e-06,3.531943360941301,1.9832923163776672,0.0013417104555318
449.27,1.0364146941915062,1.4459482560883732e-05,4.060805281618083e-06,3.560742650315446,2.0717524202497595,0.0014268558970709
452.27,1.0518177979206804,3.270820315411802e-05,9.220346264620592e-06,3.54739423177877,2.1039227630501807,0.0016936770312159
455.27,1.0387199828355425,6.470483968154953e-06,1.806790310982511e-06,3.581203601117598,1.912364354091092,0.0017020644418001
458.27,1.036184660665687,6.201261253232314e-06,1.7428292155912545e-06,3.558157734421808,2.0147290116879137,0.0013046277414013
461.27,1.0381046928883322,4.424981041901904e-06,1.2345713396212065e-06,3.584224661540892,1.9463049511608077,0.0013046277414013
464.27,1.0336213662050122,1.9156468445076616e-06,5.36298287981562e-07,3.571980159991713,1.897714908376909,0.001424528338403
467.27,1.0272343038616658,9.051230074161616e-07,2.559338966925768e-07,3.5365499416569244,1.8504760805513063,0.0013046277414013
470.27,1.021540691251602,6.83396028154922e-07,1.864484852677571e-07,3.665334299570751,1.8442520813997312,0.0013046277414013
