Time(s),Mean RR Interval (s),LF Power,HF Power,LF_div_HF,alphas,SampEn
512.79,0.6783087932893409,6.8613390654616475e-09,1.6766683140601743e-10,40.92245918840332,2.083289620569176,-1.7132220488206317e-06
515.79,0.68175153852062,7.518009420789623e-09,2.1469083841077907e-10,35.01783996206222,2.0420708178327303,-1.704287390198158e-06
518.79,0.6892628945402492,8.078400872964836e-09,1.431360333024601e-10,56.43862475841008,2.083410010809014,-1.704287390198158e-06
521.79,0.6949380575132817,9.25192423734784e-09,1.6312724552638852e-10,56.715996199734704,2.098439837935117,0.0015795649504215
524.79,0.6951533116201718,9.654178460693888e-09,1.7798267083468874e-10,54.2422383899427,2.1013975750935203,0.0008641621655743
527.79,0.6884439239176162,6.528582157755523e-09,1.4961353727285218e-10,43.63630642492772,2.0956053934353767,-1.704287390198158e-06
530.79,0.6821492636216641,7.461256772585124e-09,1.8837657831360635e-10,39.60819778860057,1.9909440765091813,-1.704287390198158e-06
533.79,0.6937989062393725,6.951207145887414e-09,1.3454575991310886e-10,51.664260177181205,2.097170901671043,0.0021440761155249
536.79,0.709279040967496,5.308602010348575e-09,1.4087571971619203e-10,37.68287410380777,2.070622945136101,0.000183225039593
539.79,0.7247754578197837,6.875659017250945e-09,1.779040876470034e-10,38.64812275080268,2.096016504699949,0.0021277189574872
542.79,0.7515675501948227,6.872511301580874e-09,1.56864133181324e-10,43.81187185496847,2.0995182126644725,0.0012460702446669
545.79,0.7970365221454626,7.98152532288001e-09,1.6078212184574887e-10,49.64187082029758,2.1022786556708555,0.0012177334178992
548.79,0.8050201608407938,7.100047051983891e-09,1.542457431137221e-10,46.03074878215069,2.1048705810170016,-1.704287390198158e-06
551.79,0.8111250249583875,7.208371078817334e-09,1.7350405605458796e-10,41.54583611895178,2.1052009054814644,0.0005676553714488
554.79,0.8132457396559868,7.739414280756682e-09,1.7887012317450766e-10,43.26834545311978,2.0957635780316406,0.0009876022317463
557.79,0.7835865738691158,7.339566335640384e-09,1.6522999360525774e-10,44.42030272769334,2.0981893255706683,0.001578749965203
560.79,0.7483772266212408,6.194381415103699e-09,1.3190905751981255e-10,46.95948505411246,2.094871607457467,0.0009697865171366
563.79,0.7331039913164928,7.986848783612828e-09,1.5646312574215248e-10,51.046204949113466,2.102850252566716,0.0023887992743783
566.79,0.7004231214249902,6.069199504635828e-09,1.4238770282893715e-10,42.62446393932832,2.0939917023473917,0.0025650445890558
569.79,0.6685440631893039,1.0607423876315336e-08,1.782374295309362e-10,59.51288629010571,2.096023268270215,0.0023377061991507
572.79,0.6692485029564565,6.753536016762651e-09,1.4190349501811746e-10,47.59245722524591,2.103170583479846,0.0017314727842028
575.79,0.667660689565856,9.875049220551686e-09,1.9540584667982864e-10,50.53609903869406,2.095989664170609,0.0026030543882329
578.79,0.6435478930062827,4.253347537686775e-09,1.349813869156161e-10,31.51062257454625,2.0944716165705426,0.0009935154174189
581.79,0.6661458710053735,6.782816946423848e-09,1.5797923098391522e-10,42.9348649450917,2.097025233502316,0.0025809533658426
584.79,0.7001066844011886,5.784971813780675e-09,1.5588359469999438e-10,37.11084431247647,2.0980176362461878,0.0026178126680611
587.79,0.7035229944784561,5.715895932596821e-09,1.3945486313106715e-10,40.98742635618749,2.091730295721392,0.0022984276021311
590.79,0.702153036444737,5.751097930281633e-09,1.5344253672137866e-10,37.48046697588486,2.095222679489085,0.002268534005425
593.79,0.7313667919955229,7.308270338013991e-09,1.4501716389610208e-10,50.3958989520028,2.10525036700767,0.0025855269186568
596.79,0.7103361284420492,7.367817549219025e-09,1.4643447300225458e-10,50.31477491714391,2.1054667408998373,0.0021562467562776
599.79,0.6732833296570698,5.5237710081023244e-09,1.3529675724234582e-10,40.82707613019912,2.094207813448181,0.0020452151603456
602.79,0.674613040679684,6.883577747431137e-09,1.3688371494252935e-10,50.2877771130131,2.082692776345016,0.0001904565519363
605.79,0.6883640405756514,5.087106636891167e-09,1.2468755510901452e-10,40.79883218853318,2.089281652308952,0.0014594805256003
608.79,0.6882863604897652,6.001464296490052e-09,1.3281155274366639e-10,45.187818171761066,2.0931366860771883,0.0007045314271286
611.79,0.7090123142306064,7.1744228036331735e-09,1.542739133104326e-10,46.50444556492631,2.1019788734711966,0.0022952467121573
614.79,0.7375334081290384,8.022966010310258e-09,1.8489123649626231e-10,43.392894992470055,2.091586432467274,0.0004257815815709
617.79,0.7546565811604423,3.2758743058043784e-09,1.0047281051005334e-10,32.60458515268262,2.095369443122662,0.0014705281667737
620.79,0.7551261648603731,4.327891095363721e-09,1.5397030363909108e-10,28.10860921277631,2.0884647979610715,-7.966366577440308e-06
623.79,0.7686601560413094,6.2799578044863245e-09,1.1971569998641956e-10,52.45726170584741,2.0963432001006104,0.0016058893482399
626.79,0.7968858141755839,5.832571687410957e-09,1.7944438490025977e-10,32.50350625712174,2.084155357266521,0.0003650589602611
629.79,0.8110403270925338,7.545815905611895e-09,1.8960874625723778e-10,39.79677127011146,2.100976462215991,0.0015982963017797
632.79,0.7818592648877386,6.565970139261365e-09,1.7682976694083795e-10,37.13158849244056,2.0844659006919306,0.0013232288679767
