Time(s),Mean RR Interval (s),LF Power,HF Power,LF_div_HF,alphas,SampEn
589.11,0.6853424499295916,9.016167235595908e-09,1.487276083247543e-10,60.62201454829186,2.072053742570817,-1.7132220488206317e-06
592.11,0.6841629964425594,8.700902557181843e-09,1.508561308226732e-10,57.67682433410339,2.0201412080668573,-1.704287390198158e-06
595.11,0.6860799475896444,7.378814555008624e-09,1.3387753421035652e-10,55.11615222472339,2.076056184350256,-3.534836780252304e-07
598.11,0.6911025159772758,8.572466094949432e-09,1.4812654813017166e-10,57.87258397067392,2.0986611603641845,0.0007026195402377
601.11,0.691568735898413,9.218191734163481e-09,1.5717129172014974e-10,58.650607456843126,2.091063337223127,0.0021813096310899
604.11,0.6967557642229649,4.102338856176642e-09,1.4399673953094842e-10,28.489109333582853,2.0968701444299485,0.0042885432794333
607.11,0.6929087745041037,5.400051221746784e-09,1.5759078423343219e-10,34.26628814631653,2.102434257124746,0.0024355275965942
610.11,0.6899791453537277,8.303998932421821e-09,1.4072874330450226e-10,59.00712773689748,2.096827463806937,0.0004757601838142
613.11,0.6838586336343465,5.739263572133141e-09,1.346046337351068e-10,42.63793461544303,2.0894290184008675,0.002424797896553
616.11,0.6700595397604339,6.455740884445532e-09,1.3971114319499325e-10,46.20777367368134,2.0995330973734254,0.0046691521046914
619.11,0.670693408838333,7.294255605100725e-09,9.121338924146189e-11,79.9691324460187,2.096540569310634,0.0049677744499127
622.11,0.6788584732043598,5.63136252548971e-09,1.4163482610406714e-10,39.75973057185828,2.080613338414265,0.0005796294467972
625.11,0.6881942967154434,6.4638019440814505e-09,1.3763684899010768e-10,46.96272830647278,2.088923847785164,0.0003663462341889
628.11,0.6993261174940786,7.281863041161115e-09,1.5193075790717095e-10,47.92882719383459,2.098177595092347,0.0048288372311416
631.11,0.7145819885155374,1.0362968865927109e-08,2.021111503419712e-10,51.2736128036133,2.000824958037875,-1.704287390198158e-06
634.11,0.7164718206391033,5.7287149738043e-09,1.858773664582917e-10,30.819863025602658,2.046439296884347,2.1958459487567706e-06
637.11,0.7226709452968064,7.75654989694482e-09,1.3450936541382871e-10,57.66550063693469,2.0984075591563345,0.0003724545007008
640.11,0.7191378555848131,4.479146833729455e-09,1.5491808582175415e-10,28.91300140955187,2.0692269766790896,-1.704287390198158e-06
643.11,0.7133601101290145,9.127746301874257e-09,1.8312970295341976e-10,49.843068353559,1.9488957486501624,-1.704287390198158e-06
646.11,0.7165959210872873,4.947820331840521e-09,1.1458083151490688e-10,43.18192027779806,2.007557035733426,-1.704287390198158e-06
649.11,0.7114358806029619,2.9525841918059003e-09,1.5782322190513949e-10,18.708173335737417,2.09141372674916,0.0016293783416949
652.11,0.7025457244759892,5.600350258547162e-09,1.3615909994947888e-10,41.13092889586624,2.088419553125726,0.0031311284609807
655.11,0.7021898737208673,5.022506855951128e-09,1.6441625101959842e-10,30.547508684846765,2.097647822769758,0.0037979996477198
658.11,0.7051338709915204,7.752894914624639e-09,1.5286165526721548e-10,50.7183760444822,2.09218335309836,0.0019580696852579
661.11,0.7074742129367405,5.838080105467921e-09,1.5915474836392208e-10,36.68178402141423,2.0850932598134237,-1.704287390198158e-06
664.11,0.7074002737637805,5.548782046858215e-09,1.5399165051730318e-10,36.03300586894306,2.090484149281492,-1.704287390198158e-06
667.11,0.7041421841730306,4.266292263680268e-09,1.353600157276549e-10,31.51811294307229,2.094869583948089,0.0033025445113804
670.11,0.7024539186893651,3.854449461453003e-09,1.33488311813724e-10,28.87480865614427,2.104740067154065,0.0033219711923616
673.11,0.6967835041201894,7.171038959556399e-09,1.0521906877883186e-10,68.15341594240644,2.107117742758779,0.0041373900923268
676.11,0.6920074789255445,6.314809452387597e-09,1.301792545111875e-10,48.50856978786054,2.105092011745731,0.0014242847947094
679.11,0.6939823204600598,5.112983342909043e-09,1.2497728527405468e-10,40.91130105520462,2.1001391057194825,0.0044318543318772
682.11,0.6943975272870033,7.439209019979942e-09,1.3783608557990934e-10,53.97141821520405,2.098124654893586,0.0041760048451297
685.11,0.69847014321658,6.433271781013179e-09,1.4246562819205266e-10,45.15665892646557,2.0987868828722536,0.0043408603161911
688.11,0.7031605846341766,8.045380882000081e-09,1.381993037870161e-10,58.21578446154189,2.1047931832072573,0.0018775555580658
691.11,0.7096831280538191,6.2068873769148725e-09,1.4575082857145858e-10,42.585606117990366,2.095763929303609,0.001972879852595
694.11,0.7206442416840243,7.067784877492719e-09,1.3726984200797902e-10,51.48825680940096,2.092489016227685,0.0019898888624885
697.11,0.7258146104333173,4.703869398342472e-09,1.5574480723315258e-10,30.20241561762442,2.0940258501824114,0.002667990419866
700.11,0.7219195552786454,7.05442741884051e-09,1.532746628784657e-10,46.02474594534972,2.093461662295042,0.0004939433006973
703.11,0.7151002232054654,6.800525664592629e-09,2.122005489693312e-10,32.047634643845775,2.0772425588444383,0.0016742972493161
706.11,0.7027694963175896,6.903871940470558e-09,1.0454497987896289e-10,66.03733578086222,2.098876023091297,0.0034694303874622
709.11,0.6928280222933539,5.472450692528002e-09,1.5089885991922406e-10,36.26568613876471,2.102234211758523,0.0031658584843019
712.11,0.6864878118188799,4.414606544234374e-09,1.407078905894431e-10,31.374264270049323,2.08313777646657,0.000447004622214
715.11,0.685507054211962,6.884876903427814e-09,1.4481969826682268e-10,47.54102505270236,2.0831321629476447,-1.704287390198158e-06
718.11,0.6864989221169019,6.075891664857034e-09,1.6769074923851867e-10,36.23271821759741,2.069083504580602,-1.704287390198158e-06
721.11,0.6893023916227001,8.755853273812443e-09,1.3092977680554054e-10,66.87442297268105,2.1005249264050523,-1.704287390198158e-06
724.11,0.6847926588384908,6.277816963017612e-09,1.5015665967932155e-10,41.8084484326215,2.074707017454381,0.0014245910207815
727.11,0.6784445301060655,7.189556061500265e-09,1.5305825231381158e-10,46.9726783941038,2.090637466796228,0.001422215193348
730.11,0.6885863135630524,5.338830094783865e-09,1.5429737030065926e-10,34.60091435376234,2.089908403669246,0.0024553505830951
733.11,0.702997700561451,8.661201672954197e-09,1.6830125097791788e-10,51.4624913518355,2.0994123343693456,0.0035959305353542
736.11,0.708974242306224,4.2268157500012536e-09,1.3587418228722023e-10,31.108306808914723,2.083264282209676,-1.704287390198158e-06
739.11,0.7116938422717242,9.643241747022389e-09,1.9071625272143464e-10,50.56329289936065,2.0384537277900794,-1.704287390198158e-06
742.11,0.7143590807870246,9.200722585350688e-09,1.9064526533008323e-10,48.260955074968976,2.005132331696443,0.000445559721088
745.11,0.7012018094204088,4.884077936297232e-09,1.3734314364546614e-10,35.56113400829719,2.102365588467153,0.0035174580729678
748.11,0.6900352613827856,5.828120382082761e-09,1.4328928951854484e-10,40.67380333635106,2.089717292413171,0.0023617772687001
751.11,0.6841971523125197,8.331449720096531e-09,1.3629487439856458e-10,61.128122072536826,2.050644701330473,-1.704287390198158e-06
754.11,0.6903742306188384,6.710606783230195e-09,1.1988886792010222e-10,55.97356034508858,2.0964079815974785,0.0027182675277671
757.11,0.7203844591237011,8.135432701070251e-09,9.648477533656394e-11,84.31830485889353,2.087337497175347,0.0042935093294272
760.11,0.7330005420288593,7.126377792380036e-09,2.3612794759499047e-10,30.180153874048337,2.1060888202559265,0.0038349469618785
763.11,0.7415450037008021,9.190001560515634e-09,1.3738631069009226e-10,66.89168312588205,2.0949243407562803,0.0041921213669258
766.11,0.7706710961694457,5.468121967707225e-09,1.7281509238274592e-10,31.64146077934319,2.093867888709793,0.0049420156951921
769.11,0.78310524023328,4.703448606957716e-09,1.7131439587932428e-10,27.455069276669988,2.0907099353465157,3.658122512269223e-05
772.11,0.7664564457705442,5.098240831960124e-09,1.4388827664327863e-10,35.431940328255195,2.105553790862499,0.0049412577917046
