Time(s),Mean RR Interval (s),LF Power,HF Power,LF_div_HF,alphas,SampEn
739.53,0.6314893247906878,6.898800559393745e-09,1.5256821711094663e-10,45.217809384093286,2.0912217855933104,-1.704287390198158e-06
742.53,0.6278076024670741,7.200790234243273e-09,1.5232870547242598e-10,47.27139387097815,2.0503913807420986,-1.704287390198158e-06
745.53,0.6276005871302275,6.772129838401881e-09,1.3179191333073212e-10,51.38501799732738,2.0588017434001737,-1.704287390198158e-06
748.53,0.6293998752311086,6.0084149671646e-09,1.530724081278035e-10,39.25210977374866,2.0960182972015606,-1.704287390198158e-06
751.53,0.6308617326224361,4.188528009927001e-09,1.3851634673991252e-10,30.23851053328499,2.089385430231328,-1.704287390198158e-06
754.53,0.6335623168631723,6.54591776264112e-09,1.4501817739257755e-10,45.138601796936925,2.093129169558137,-1.704287390198158e-06
757.53,0.6384362032606955,3.952868547642498e-09,1.4813471888209608e-10,26.68428156122319,2.100196673172326,0.0004376608347866
760.53,0.6431356849228321,7.570902699739183e-09,1.3134723772336732e-10,57.64036481440433,2.104528616156375,-1.704287390198158e-06
763.53,0.6468262714238503,6.854686251203387e-09,1.4180820710223532e-10,48.33772594178252,2.0902208527744484,-1.704287390198158e-06
766.53,0.6430592235298797,8.630000129431333e-09,1.3293421033781205e-10,64.91933195752095,2.0928562247424254,0.001753841318626
769.53,0.6276611362751933,6.865112091673767e-09,1.6570370652691854e-10,41.4300454441466,2.078539793577437,0.0008341426989923
772.53,0.6233154565157707,7.298621463087592e-09,1.262166189976088e-10,57.82615253880208,2.014743677774771,-1.704287390198158e-06
775.53,0.6257729857691414,3.889272455590821e-09,1.8315459185724576e-10,21.23491645037322,1.998639303250341,-1.704287390198158e-06
778.53,0.6324042435274321,6.646512677256293e-09,1.2421816035065555e-10,53.50677113953263,2.0899264206893258,0.0010688749022226
781.53,0.6476385123584522,9.545594127722897e-09,1.7415166780028114e-10,54.8119593013021,2.0980647496949123,0.0022100237845071
784.53,0.6699050270427526,7.145046320737253e-09,1.7297416221432928e-10,41.30701504357599,2.094799829590132,0.0017650843414736
787.53,0.685506942437749,7.352223522774875e-09,1.596565048008483e-10,46.0502597870714,2.089480561625949,-2.974740484059843e-05
790.53,0.6988928306356431,6.023529075858631e-09,1.4640483718193132e-10,41.14296488970126,2.1081875639687038,0.002577474241409
793.53,0.7082458858257482,7.763648406265274e-09,1.515467361175739e-10,51.22940028376483,2.0843428925765424,-1.704287390198158e-06
796.53,0.6924138834365431,5.330297173947184e-09,1.4741993616955148e-10,36.15723430931805,2.097321538617613,0.0025214458913168
799.53,0.6847386295543418,5.9293796536091635e-09,1.8154959861176303e-10,32.65983345019075,2.0518252892301523,-1.704287390198158e-06
802.53,0.6920134599488154,4.563104906612602e-09,1.3911344580376632e-10,32.80132182944649,2.1076930783374963,0.0003230684158345
805.53,0.6958710910264051,5.0697003639046775e-09,1.3161069911191446e-10,38.52042727615697,2.102083386843128,-1.704287390198158e-06
808.53,0.6940587205041006,5.6095333618206024e-09,1.500415950398178e-10,37.38652178638832,2.099186109061165,0.0006352056060623
811.53,0.7123855200445709,9.06223931968802e-09,1.2561685003709063e-10,72.14190864531493,2.095660026162903,0.0020568374955315
814.53,0.7204384755794419,6.228361972041701e-09,1.4518202929342015e-10,42.90036447592195,2.0859771375687344,-1.704287390198158e-06
817.53,0.7076647103077242,8.176160855826448e-09,1.2743323553000758e-10,64.16034892169986,2.0910733152156533,0.00139753355442
